,population,max_generations,combination_prob,mutation_prob,iteration,accuracy
259,25.0,50.0,0.7,0.05,1.0,0.4261647254575707
260,25.0,50.0,0.7,0.05,1.0,0.38061564059900166
261,25.0,50.0,0.7,0.05,1.0,0.430324459234609
262,25.0,50.0,0.7,0.05,1.0,0.3652246256239601
263,25.0,50.0,0.7,0.05,1.0,0.43406821963394343
264,25.0,50.0,0.7,0.05,1.0,0.35066555740432614
265,25.0,50.0,0.7,0.05,1.0,0.44529950083194675
266,25.0,50.0,0.7,0.05,1.0,0.33881031613976703
267,25.0,50.0,0.7,0.05,1.0,0.4887687188019967
268,25.0,50.0,0.7,0.05,1.0,0.37707986688851913
269,25.0,50.0,0.7,0.05,1.0,0.4082778702163062
270,25.0,50.0,0.7,0.05,1.0,0.42512479201331116
271,25.0,50.0,0.7,0.05,1.0,0.39891846921797003
272,25.0,50.0,0.7,0.05,1.0,0.4621464226289517
273,25.0,50.0,0.7,0.05,1.0,0.4130615640599002
274,25.0,50.0,0.7,0.05,1.0,0.36460066555740434
275,25.0,50.0,0.7,0.05,1.0,0.3579450915141431
276,25.0,50.0,0.7,0.05,1.0,0.6695091514143094
277,25.0,50.0,0.7,0.05,1.0,0.4413477537437604
278,25.0,50.0,0.7,0.05,1.0,0.4151414309484193
279,25.0,50.0,0.7,0.05,1.0,0.43094841930116473
280,25.0,50.0,0.7,0.05,1.0,0.4319883527454243
281,25.0,50.0,0.7,0.05,1.0,0.49126455906821964
282,25.0,50.0,0.7,0.05,1.0,0.4677620632279534
283,25.0,50.0,0.7,0.05,1.0,0.4444675540765391
284,25.0,50.0,0.7,0.05,1.0,0.4887687188019967
285,25.0,50.0,0.7,0.05,1.0,0.48980865224625625
286,25.0,50.0,0.7,0.05,1.0,0.4444675540765391
287,25.0,50.0,0.7,0.05,1.0,0.370216306156406
288,25.0,50.0,0.7,0.05,1.0,0.3498336106489185
289,25.0,50.0,0.7,0.05,1.0,0.42491680532445925
290,25.0,50.0,0.7,0.05,1.0,0.4968801996672213
291,25.0,50.0,0.7,0.05,1.0,0.37104825291181365
292,25.0,50.0,0.7,0.05,1.0,0.4242928452579035
293,25.0,50.0,0.7,0.05,1.0,0.4301164725457571
294,25.0,50.0,0.7,0.05,1.0,0.41846921797004993
